case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,admissible,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,n5_gt,n6_gt,n7_gt,n_atoms_gt,n_atoms_init_recon,atom_recon_err,ring_l1_init,tau_init_57,nx_sweep,Ef_rel
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.09510937835597918,0.08336178790338067,0.12351663585297724,True,7600,True,2.220446049250313e-16,42.07859964099967,0.0003275302787193026,0.730665013092732,False,1019,997,0,0,441,0,0,413,1.0,2,89,0,445,0,1024,1019,0.0048828125,0.008988764044943821,1.0,512,
T0_pristine,K3,R2,P4,K3/R2/P4,0.01,1024,768,444,0.001303780964797914,0.0931084466290746,0.08180391783569034,0.12141249481284157,True,7200,True,1.1102230246251565e-16,42.27254199870263,0.00021339879754718778,0.7275417575952808,False,1021,1013,0,0,441,0,0,378,1.0,0,213,0,445,0,1024,1021,0.0029296875,0.008988764044943821,1.0,768,0.0
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,256,148,0.00392156862745098,0.09804016347002317,0.07802381997590639,0.20416472989905807,True,15000,True,1.1113082866238126e-16,49.0806728656248,0.0007186786067516844,0.8191139757492862,False,1023,1031,0,0,445,0,0,441,1.0,3,43,0,456,0,1023,1023,0.0,0.02412280701754386,1.0,256,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,384,222,0.0026109660574412533,0.09993805267269418,0.07783313232871299,0.22118622239295305,True,14200,True,2.222616573247625e-16,56.0175721884128,0.0004047617223439343,0.8319647458605852,False,1023,1034,0,0,447,0,0,448,1.0,3,42,0,456,0,1023,1023,0.0,0.019736842105263157,1.0,384,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.10024008532990165,0.07773330318707895,0.22452876081210715,True,13600,True,4.44523314649525e-16,58.248813575514305,0.00035187021056077374,0.8343354073728733,False,1023,1036,0,0,449,0,0,442,1.0,3,49,0,456,0,1023,1023,0.0,0.015350877192982455,1.0,512,
T1_vacancy,K2,R2,P3,K2/R2/P3,0.01,1023,768,444,0.001303780964797914,0.10074240321875307,0.0776344686677461,0.2293764473816468,True,13400,True,1.1113082866238126e-16,60.31680417303728,0.00026538976243360214,0.8376856093245995,False,1023,1038,0,0,436,0,0,442,1.0,3,56,0,456,0,1023,1023,0.0,0.043859649122807015,1.0,768,-4.5028620684269616e-05
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,256,148,0.00392156862745098,0.0924882589375323,0.07797578197098014,0.1569115597294795,True,11600,True,1.1113082866238126e-16,41.74129359026188,0.0008522350717141065,0.7742985060294302,False,997,987,0,0,423,0,0,408,1.0,3,48,0,456,0,1023,997,0.02541544477028348,0.07236842105263158,1.0,256,
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,384,222,0.0026109660574412533,0.08944601453512707,0.07774120419387008,0.13085893655619837,True,9000,True,2.222616573247625e-16,40.87477767632235,0.000361010261526951,0.7414978084782377,False,1007,999,0,0,437,0,0,408,1.0,3,121,0,456,0,1023,1007,0.015640273704789834,0.041666666666666664,1.0,384,
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,512,296,0.0019569471624266144,0.08954166863003868,0.07764032263229317,0.13291405196968759,True,8600,True,0.0,42.50381238457461,0.0003306800034718972,0.7444600879117634,False,1007,1020,0,0,440,0,0,398,1.0,3,165,0,456,0,1023,1007,0.015640273704789834,0.03508771929824561,1.0,512,
T1_vacancy,K3,R2,P3,K3/R2/P3,0.01,1023,768,444,0.001303780964797914,0.08796305145615416,0.07752378523914824,0.118677854442208,True,7600,True,3.333924859871438e-16,40.71665189922781,0.0002581214448376438,0.7231968113148759,False,1007,1000,0,0,432,0,0,390,1.0,3,172,0,456,0,1023,1007,0.015640273704789834,0.05263157894736842,1.0,768,-0.00020160255289888078
