config,case,protocol,tier,c2_h1,c2_h2,w_ratio,ringL1_init,ringL1_relaxed,healthy,nmax
h2_0.80,T0_pristine,K4/R2/P3,bad,1.05,0.8,0.1,1.5707865168539326,1.853932584269663,True,1.0093204346842863
h2_0.80,T1_vacancy,K1/R2/P3,bad,1.05,0.8,0.1,2.892543859649123,0.7039473684210527,True,1.100980260041772
h2_0.80,T1_vacancy,K2/R2/P3,good,1.05,0.8,0.1,0.015350877192982455,0.013157894736842105,True,0.9975483256487602
h2_0.80,T1_vacancy,K3/R2/P3,good,1.05,0.8,0.1,0.03508771929824561,0.019736842105263157,True,0.7417097847213034
h2_0.80,T1_vacancy,K3/R2/P4,good,1.05,0.8,0.1,0.03508771929824561,0.017543859649122806,True,0.7226220378647571
h2_0.80,T1_vacancy,K4/R2/P3,bad,1.05,0.8,0.1,1.4824561403508771,1.9495614035087718,True,1.100905158356161
h2_0.80,T2_stone_wales,K1/R2/P3,bad,1.05,0.8,0.1,2.694877505567929,0.8151447661469933,True,0.8099371346365569
h2_0.80,T2_stone_wales,K2/R2/P3,good,1.05,0.8,0.1,0.0378619153674833,0.011135857461024499,True,0.9969309915325989
h2_0.80,T2_stone_wales,K3/R2/P3,good,1.05,0.8,0.1,0.0378619153674833,0.028953229398663696,True,0.7971074995678519
h2_0.80,T2_stone_wales,K3/R2/P4,good,1.05,0.8,0.1,0.0378619153674833,0.008908685968819599,True,0.7620381135634405
h2_0.80,T2_stone_wales,K4/R2/P3,bad,1.05,0.8,0.1,1.3697104677060135,1.4966592427616927,True,1.0894313200752586
h2_0.80,T3_dislocation_dipole,K1/R2/P3,bad,1.05,0.8,0.1,2.292134831460674,1.2668539325842696,True,0.6446471810209038
h2_0.80,T3_dislocation_dipole,K2/R2/P3,good,1.05,0.8,0.1,0.014044943820224719,0.06179775280898876,True,1.3547400442873498
h2_0.80,T3_dislocation_dipole,K3/R2/P3,good,1.05,0.8,0.1,0.008426966292134831,0.025280898876404494,True,0.8698889006507617
h2_0.80,T3_dislocation_dipole,K3/R2/P4,good,1.05,0.8,0.1,0.008426966292134831,0.033707865168539325,True,0.8011402318142654
h2_0.80,T3_dislocation_dipole,K4/R2/P3,bad,1.05,0.8,0.1,2.3230337078651684,2.705056179775281,True,0.9134722971369804
h2_0.80,T4_low_angle_gb,K1/R2/P3,bad,1.05,0.8,0.1,2.2486033519553073,2.14804469273743,True,0.5810268023613003
h2_0.80,T4_low_angle_gb,K2/R2/P3,good,1.05,0.8,0.1,0.0,0.025139664804469275,True,1.378105606253405
h2_0.80,T4_low_angle_gb,K3/R2/P3,good,1.05,0.8,0.1,0.0,0.030726256983240222,True,0.9213693140476389
