case,K,R,P,protocol,lam,n_atoms,nx,ny,dx,F_init,F_final,rel_drop,converged,steps,conservation,roughness_init,highk_init,l2_change,r1_fell_back,n_atoms_init,n_atoms_relaxed,n5_init,n7_init,n6_init,n5_relaxed,n7_relaxed,n6_relaxed,tau_57,coord_defects_init,coord_defects_relaxed,Ef_rel
T2_stone_wales,K4,R2,P4,K4/R2/P4,0.01,1024,512,296,0.0019569471624266144,0.16482845192008952,0.16030972090116682,0.027414751314375145,False,20000,2.220446049250313e-16,7.542983177413429,0.009080672251364592,0.42147220738864755,False,301,73,1,5,7,0,0,0,0.0,130,45,
T2_stone_wales,K3,R1,P2,K3/R1/P2,0.01,1024,512,296,0.0019569471624266144,770842.1200717037,1.4580722627359145e+22,-1.8915316441196604e+16,False,200,0.0,431.9633353679237,0.0033464788179799823,8184.420710776881,True,407,606,2,0,0,4,0,2,2.0,254,413,
T2_stone_wales,K3,R3,P2,K3/R3/P2,0.01,1024,512,296,0.0019569471624266144,2.4437788619771506,2.4437788608657476,4.547886827847191e-10,True,200,0.0,0.011439703313339654,0.04040721283320907,4.276026504680094e-05,False,0,0,0,0,0,0,0,0,1.0,0,0,
T3_dislocation_dipole,K1,R2,P1,K1/R2/P1,0.01,856,512,198,0.0019569471624266144,499222373768.51276,8.231796668787433e+25,-164892382660005.38,False,200,0.0,61984.07335409478,3.433623661261068e-05,1999.6248363852924,False,349,420,0,0,3,3,1,2,nan,215,215,
T3_dislocation_dipole,K1,R2,P2,K1/R2/P2,0.01,856,512,198,0.0019569471624266144,0.013875670513383946,0.00029915892346066194,0.9784400383987135,False,20000,0.0,27.19488563062121,3.605870699893268e-05,0.9807252135985391,False,303,30,0,1,4,0,0,0,0.0,192,2,
T3_dislocation_dipole,K1,R2,P3,K1/R2/P3,0.01,856,512,198,0.0019569471624266144,0.06643065621427927,0.052100877755182746,0.21571032525818004,False,20000,0.0,29.87881718003292,3.433623661261075e-05,0.8113747148384421,False,333,90,0,0,3,0,0,0,1.0,215,32,
T3_dislocation_dipole,K1,R2,P4,K1/R2/P4,0.01,856,512,198,0.0019569471624266144,0.08741873371650037,0.08269609907496647,0.054023141731261395,True,4400,0.0,22.7633247238195,0.00031577397923846737,0.5655436815376359,False,333,290,0,0,3,0,0,1,1.0,215,208,
T3_dislocation_dipole,K2,R2,P1,K2/R2/P1,0.01,856,512,198,0.0019569471624266144,2428993854832.7476,1.8057829481415743e+32,-7.434283724303265e+19,False,200,2.656234526205982e-16,372760.07737792685,0.0007853709516194648,58827.06121753967,False,856,821,0,0,361,15,1,75,nan,16,400,
T3_dislocation_dipole,K2,R2,P2,K2/R2/P2,0.01,856,512,198,0.0019569471624266144,13383671.864546781,6.787211571397333e+22,-5071262684926242.0,False,200,2.656234526205982e-16,1455.1319683650586,0.03148240817789288,5689.395431571803,False,294,404,0,0,0,1,1,0,nan,175,250,
T3_dislocation_dipole,K2,R2,P3,K2/R2/P3,0.01,856,512,198,0.0019569471624266144,0.0713874137342829,0.05201223945298128,0.2714088278000879,False,20000,2.656234526205982e-16,70.51326198912491,0.0007853709516194654,0.8626674265811761,False,856,862,0,0,361,0,0,362,1.0,16,27,
