family,regime,knob,value,sigma_equiv,mean_ringL1,max_ringL1,ringL1_T0,ringL1_T1,ringL1_T2,ringL1_T3,ringL1_T4,ringL1_T5
K1,wide,k_cut,520.0,0.0019230769230769232,0.018446418843088452,0.0374331550802139,0.0044943820224719105,0.02850877192982456,0.017817371937639197,0.014044943820224719,0.008379888268156424,0.0374331550802139
K1,wide,k_cut,530.0,0.0018867924528301887,0.021860907100974002,0.0481283422459893,0.024719101123595506,0.019736842105263157,0.013363028953229399,0.014044943820224719,0.0111731843575419,0.0481283422459893
K1,wide,k_cut,540.0,0.001851851851851852,1.1474550571096864,2.4298245614035086,2.3146067415730336,2.4298245614035086,2.044543429844098,0.025280898876404494,0.0223463687150838,0.0481283422459893
K1,wide,k_cut,550.0,0.0018181818181818182,1.0066262667103114,2.084632516703786,1.9235955056179774,1.9473684210526316,2.084632516703786,0.014044943820224719,0.013966480446927373,0.05614973262032086
K1,wide,k_cut,560.0,0.0017857142857142857,1.0267230122255735,2.175946547884187,1.9258426966292135,1.9824561403508771,2.175946547884187,0.0056179775280898875,0.0223463687150838,0.0481283422459893
K1,wide,k_cut,570.0,0.0017543859649122807,1.0751819630404131,2.1842105263157894,2.101123595505618,2.1842105263157894,2.0757238307349666,0.02247191011235955,0.01675977653631285,0.05080213903743316
K1,wide,k_cut,580.0,0.0017241379310344827,1.0607210546334191,2.192982456140351,1.9370786516853933,2.192982456140351,2.1492204899777283,0.02247191011235955,0.025139664804469275,0.0374331550802139
K1,wide,k_cut,590.0,0.001694915254237288,1.0246047578369175,2.0657894736842106,1.9325842696629214,2.0657894736842106,2.0534521158129175,0.033707865168539325,0.013966480446927373,0.0481283422459893
K1,wide,k_cut,600.0,0.0016666666666666668,1.1067228975963137,2.2202247191011235,2.2202247191011235,2.1710526315789473,2.180400890868597,0.025280898876404494,0.013966480446927373,0.029411764705882353
K1,wide,k_cut,610.0,0.001639344262295082,1.6535394149664293,2.432584269662921,2.051685393258427,1.9407894736842106,1.8908685968819599,2.432584269662921,1.5865921787709498,0.01871657754010695
K1,wide,k_cut,620.0,0.0016129032258064516,1.1517738250008953,2.4545454545454546,0.1146067415730337,0.13596491228070176,0.2962138084632517,1.7668539325842696,2.142458100558659,2.4545454545454546
K1,wide,k_cut,630.0,0.0015873015873015873,1.2285900591154872,2.6797752808988764,0.1101123595505618,0.13596491228070176,0.155902004454343,2.6797752808988764,1.7737430167597765,2.516042780748663
K1,wide,k_cut,640.0,0.0015625,0.3226485518213512,1.7967914438502675,0.02696629213483146,0.02631578947368421,0.06904231625835189,0.0028089887640449437,0.013966480446927373,1.7967914438502675
K1,wide,k_cut,650.0,0.0015384615384615385,0.6327152550508406,1.7887700534759359,0.07415730337078652,0.08333333333333333,0.10690423162583519,0.019662921348314606,1.723463687150838,1.7887700534759359
K1,wide,k_cut,660.0,0.0015151515151515152,0.5878418997556434,1.641711229946524,0.10786516853932585,0.09210526315789473,0.07349665924276169,0.025280898876404494,1.5865921787709498,1.641711229946524
K1,wide,k_cut,670.0,0.0014925373134328358,1.072927723708377,2.811797752808989,0.10337078651685393,0.10307017543859649,0.07349665924276169,2.811797752808989,1.5837988826815643,1.7620320855614973
K1,wide,k_cut,680.0,0.0014705882352941176,0.7951207027026727,2.6179775280898876,0.09438202247191012,0.08991228070175439,0.133630289532294,2.6179775280898876,0.013966480446927373,1.820855614973262
K1,wide,k_cut,690.0,0.0014492753623188406,1.3060554978082732,3.4887640449438204,0.0898876404494382,0.13596491228070176,0.25389755011135856,3.4887640449438204,2.0977653631284916,1.7700534759358288
K1,wide,k_cut,700.0,0.0014285714285714286,0.43348155291207924,1.2338530066815145,0.6224719101123596,0.506578947368421,1.2338530066815145,0.12078651685393259,0.11452513966480447,0.00267379679144385
K1,wide,k_cut,710.0,0.0014084507042253522,3.2634006012353,6.555056179775281,6.555056179775281,6.412280701754386,6.403118040089087,0.12359550561797752,0.08100558659217877,0.0053475935828877
K1,wide,k_cut,720.0,0.001388888888888889,3.231632858926819,6.474157303370786,6.474157303370786,6.328947368421052,6.44097995545657,0.10393258426966293,0.03910614525139665,0.00267379679144385
K1,wide,k_cut,730.0,0.0013698630136986301,3.1964906068399475,6.478651685393259,6.478651685393259,6.2785087719298245,6.3184855233853,0.07584269662921349,0.01675977653631285,0.0106951871657754
K1,wide,k_cut,740.0,0.0013513513513513514,0.9542971952313296,3.247216035634744,1.2426966292134831,1.0789473684210527,3.247216035634744,0.13202247191011235,0.019553072625698324,0.0053475935828877
K1,wide,k_cut,750.0,0.0013333333333333333,0.038977060902222055,0.14887640449438203,0.01348314606741573,0.02412280701754386,0.0200445434298441,0.14887640449438203,0.013966480446927373,0.013368983957219251
